AK,61.0805557516
AL,18.3322517511
AR,26.8678643823
AZ,494.987729296
CA,29.7274660138
CO,36.1659533678
CT,33.7811819076
DC,18.971213839
DE,26.6135393442
FL,27.0392585
GA,17.2718704317
HI,31.9112739784
IA,27.7748633303
ID,46.008966854
IL,24.6417474989
IN,25.997236562
KS,27.4447051175
KY,25.2409845615
LA,17.0119380361
MA,25.7805013425
MD,19.6606422555
ME,58.71787527
MI,25.9337224872
MN,25.379440967
MO,31.9117934939
MS,17.7350029842
MT,64.2842418612
NC,23.9743426263
ND,23.4092010481
NE,26.1493072294
NH,53.6624226624
NJ,20.9774366691
NM,49.4348792561
NV,40.4001410307
NY,20.4798617984
OH,26.2804654377
OK,25.1414950448
OR,59.5430149167
PA,25.73665606
RI,36.5816790233
SC,30.3984577697
SD,29.7711489437
TN,22.9641039297
TX,16.5708608516
UT,30.3441976661
VA,21.1738987201
VT,64.1596521972
WA,73.0153380358
WI,27.3726874769
WV,34.1561432958
WY,45.0224513098
